Clt,Joueur,Nation,Pos,Équipe,Comp,Âge,Naissance,90,Buts,Tirs,TC,TC%,Tir/90,TC/90,B/Tir,B/TC,Dist,CF,PénM,PénT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matchs
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,21-354,2000,17.0,0,9,2,22.2,0.53,0.12,0.00,0.00,20.2,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matchs
2,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,34-087,1987,18.0,1,14,4,28.6,0.78,0.22,0.07,0.25,19.0,0,0,0,1.0,1.0,0.07,0.0,0.0,Matchs
3,Salis Abdul Samed\82464ce3,gh GHA,MT,Clermont Foot,fr Ligue 1,21-273,2000,15.7,0,6,2,33.3,0.38,0.13,0.00,0.00,20.0,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matchs
4,Laurent Abergel\31626657,fr FRA,MT,Lorient,fr Ligue 1,28-326,1993,17.6,0,16,4,25.0,0.91,0.23,0.00,0.00,21.5,0,0,0,1.6,1.6,0.10,-1.6,-1.6,Matchs
5,Charles Abi\469d3d84,fr FRA,AT,Saint-Étienne,fr Ligue 1,21-256,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
6,Dickson Abiama\cadd666a,ng NGA,AT,Greuther Fürth,de Bundesliga,23-051,1998,6.3,0,16,4,25.0,2.55,0.64,0.00,0.00,14.8,0,0,0,2.0,2.0,0.12,-2.0,-2.0,Matchs
7,Matthis Abline\bbe96b16,fr FRA,AT,Rennes,fr Ligue 1,18-271,2003,1.1,0,2,0,0.0,1.75,0.00,0.00,,8.6,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matchs
8,Tammy Abraham\f586779e,eng ENG,AT,Roma,it Serie A,24-083,1997,16.7,6,47,15,31.9,2.81,0.90,0.13,0.40,12.1,2,0,0,9.2,9.2,0.20,-3.2,-3.2,Matchs
9,Luis Abram\1f462f95,pe PER,DF,Granada,es La Liga,25-300,1996,6.2,0,2,0,0.0,0.32,0.00,0.00,,7.0,0,0,0,0.5,0.5,0.24,-0.5,-0.5,Matchs
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,33-317,1988,16.8,3,6,3,50.0,0.36,0.18,0.50,1.00,8.7,0,0,0,1.0,1.0,0.17,+2.0,+2.0,Matchs
